book,code,description,category,trade,hours,parts_allowance,list_price,labor_value,active,notes
hvac,HH36B,Basic Moisture Restoration System Renovation · Basic comfort and safety upgrades · Performance and safety testing · 6 month warranty,Services,hvac,13.25,0,2465.00,2465.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH36C,Main Moisture Restoration System Renovation · Comfort control system · Inline mineral filters · Performance and safety testing · 1 year warranty,Services,hvac,17.75,0,3286.00,3286.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH36D,Complete Moisture Restoration System Renovation · Extreme comfort control system renovation · Inline mineral filters · Complete water removal system reno,Services,hvac,22.25,0,4108.00,4108.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH36E,Complete Moisture Restoration System Renovation · Extreme comfort control system renovation · Inline mineral filters · Complete water removal system reno,Services,hvac,26.75,0,4929.00,4929.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH37A,Moisture Restoration System Rejuvenation · Performance and safety testing · 30 day warranty,Services,hvac,12.5,0,2335.00,2335.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH37B,Basic Moisture Restoration System Renovation · Basic comfort and safety upgrades · Performance and safety testing · 6 month warranty,Services,hvac,19,0,3502.00,3502.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH37C,Main Moisture Restoration System Renovation · Comfort control system · Inline mineral filters · Performance and safety testing · 1 year warranty,Services,hvac,25.25,0,4669.00,4669.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH37D,Complete Moisture Restoration System Renovation · Extreme comfort control system renovation · Inline mineral filters · Complete water removal system reno,Services,hvac,31.5,0,5837.00,5837.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH37E,Complete Moisture Restoration System Renovation · Extreme comfort control system renovation · Inline mineral filters · Complete water removal system reno,Services,hvac,37.75,0,7004.00,7004.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH38A,Moisture Restoration System Rejuvenation · Performance and safety testing · 30 day warranty,Services,hvac,14.25,0,2642.00,2642.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH38B,Basic Moisture Restoration System Renovation · Basic comfort and safety upgrades · Performance and safety testing · 6 month warranty,Services,hvac,21.5,0,3964.00,3964.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
