Item Name,Description,Mfg Part #,Category,Rate,Item Type
HB11C,Main Electrical Wiring and Terminal Renovation\CRInstall new compressor lug kit\CRUpgrade to performance enhancement system\CRPerformance and safety test,,Services,2032,Non Inventory
HB11D,Complete Electrical Wiring and Terminal Renovation\CRInstall new compressor lug kit\CRUpgrade to performance enhancement system\CRPerformance and safety,,Services,2402,Non Inventory
HB11E,Complete Electrical Wiring and Terminal Renovation\CRInstall new compressor lug kit\CRUpgrade to performance enhancement system\CRPerformance and safety,,Services,2956,Non Inventory
HB12A,Electrical Wiring and Terminal Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,961,Non Inventory
HB12B,Basic Electrical Wiring and Terminal Renovation\CRPerformance and safety testing \CR6 month warranty,,Services,1730,Non Inventory
HB12C,Main Electrical Wiring and Terminal Renovation\CRInstall new compressor lug kit\CRUpgrade to performance enhancement system\CRPerformance and safety test,,Services,2642,Non Inventory
HB12D,Complete Electrical Wiring and Terminal Renovation\CRInstall new compressor lug kit\CRUpgrade to performance enhancement system\CRPerformance and safety,,Services,3123,Non Inventory
HB12E,Complete Electrical Wiring and Terminal Renovation\CRInstall new compressor lug kit\CRUpgrade to performance enhancement system\CRPerformance and safety,,Services,3844,Non Inventory
HB13A,Electrical Connection System Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,752,Non Inventory
HB13B,Basic Electrical Connection System Renovation \CRPerformance and safety testing\CR6 month warranty,,Services,1128,Non Inventory
HB13C,Main Electrical Connection System Renovation\CRVoltage distribution system renovation\CRRejuvenate electrical control system\CRPerformance and safety tes,,Services,1504,Non Inventory
HB13D,Complete Electrical Connection System Renovation\CRComplete voltage distribution system renovation\CRRejuvenate electrical control system\CRUpgrade to vo,,Services,1880,Non Inventory
HB13E,Complete Electrical Connection System Renovation\CRComplete voltage distribution system renovation\CRRejuvenate electrical control system\CRUpgrade to vo,,Services,2257,Non Inventory
HB14A,Electrical Connection System Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,1097,Non Inventory
HB14B,Basic Electrical Connection System Renovation \CRPerformance and safety testing\CR6 month warranty,,Services,1645,Non Inventory
HB14C,Main Electrical Connection System Renovation\CRVoltage distribution system renovation\CRRejuvenate electrical control system\CRPerformance and safety tes,,Services,2193,Non Inventory
HB14D,Complete Electrical Connection System Renovation\CRComplete voltage distribution system renovation\CRRejuvenate electrical control system\CRUpgrade to vo,,Services,2741,Non Inventory
HB14E,Complete Electrical Connection System Renovation\CRComplete voltage distribution system renovation\CRRejuvenate electrical control system\CRUpgrade to vo,,Services,3290,Non Inventory
HB15A,Electrical Safety Circuit Rejuvenation\CRPerformance and safety testing\CR30 day warranty,,Services,677,Non Inventory
HB15B,Basic Electrical Safety Circuit Renovation\CRElectrical safety service\CRPerformance and safety testing\CR6 month warranty,,Services,1016,Non Inventory
HB15C,Main Electrical Safety Circuit Renovation\CRComponent surge protection system\CRElectrical safety service\CRPerformance and safety testing\CR1 year warran,,Services,1354,Non Inventory
HB15D,Complete Electrical Safety Circuit Renovation\CRElectrical termination point safety service\CRComponent surge protection system\CRPerformance and safety,,Services,1693,Non Inventory
HB15E,Complete Electrical Safety Circuit Renovation\CRElectrical termination point safety service\CRComponent surge protection system\CRPerformance and safety,,Services,2032,Non Inventory
HB16A,Electrical Safety Circuit Rejuvenation\CRPerformance and safety testing\CR30 day warranty,,Services,878,Non Inventory
